text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
탐라에 ㅇㅅㄹ 얼굴 사진이 보이면 눈을 옆으로 돌리고 얼른 쓸어내린다 단 한 순간도 시선 주고 싶지 않다 저들이 믿는 무속신앙에서는 왠지 이슈가 좋든 나쁘든 일 초라도 눈빛 구걸할 거 같고 이거저거 따지기 전에 소름돋게 싫다,0,0.01,0.01,0.01,0.03,0,0.02,0.02,0.01,0.3,0.65
나 대기표 배부하시는곳 바로 근처 지나가는 중이어서 완죤 빨리 받음 ㅇㅅㄹ,1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.9
솔직히 ㅇㅅㄹ 쪽 전쟁은 남일 같았는데 ㄹㅅㅇ는 여러모로 남일 아닌거 같아서 무서움 하,0,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.07,0.91
ㅎㅅ ㅊㅎㅈㄱ ㅅㅇㄷ ㅌㅊㅇㄷ ㅂㅁㄷ ㅎㄱ ㄷ ㅊㅎㅈㄱ ㄱㅇㅅ ㄴㅁ ㅈㅇ ㅇㅇㄹ ㅇㅅㄹ ㄷ ㅊㅎㅈㄱ ㅅㅇ,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.72
말만하면 다 거짓말 ㄱㅅㄲ ㅇㅅㄹ,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.87,0.1
ㅇㅈㅅ ㅇㅅㄹ 노년에 ㅈㄴ 고생했으면,1,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.15,0.76
엄마가 그래도 이재명보다 ㅇㅅㄹ이 낫다고 하는데 어떡하지 그냥 심상정후보님을 뽑으시오,0,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.87
박근혜가 불쌍해서 글썽이던 우리엄마 그네언니 건드리지 말라 화내던 친척들 친척중에 태극기부대 심지어 문어대가리 관련 쩝 이 집안드문 ㅃㄱㅇ 나 근데 이번 대선 엄마가 심지어 오마이뉴스를 틀어노코 ㅇㅅㄹ 욕을 들려주심 대체 이게 무슨 일이란 말이오 요지경대선,0,0.02,0,0,0.02,0.01,0.02,0.01,0.02,0.25,0.54
ㅇㅅㄹ 은 적당한 쓰레기가 아니라 갱장한 쓰레기다,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.84,0.15
트친소 더 이상 안 하기로 마음먹었는데 ㅇㅅㄹ 트친소는 좀 해보고싶음,1,0.04,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.1,0.84
그래 ㅇㅅㄹ 합리적인 이유가 있어서 뽑으면 모르겠는데 암생각없이 뽑지는 말자고,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.64
나 근데 왜 계속 ㅇㅅㄹ이라고 하니 ㅇㅅㅇ이지,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.86
와 미디어가 진짜 무섭긴 하구나 어제 ㅇㅅㄹ 뉴스보고 개빡쳐서 인스타 스토리에 관련 내용 얘기하고 애들한테 무조건 투표하러 가고 ㅇㅅㄹ은 뽑지마라 했더니 어떤 애가 자기는 ㅇㅅㄹ이 이름이 많이 들리길래 뽑으려고 했는데 내 얘기 듣고 다른 사람 뽑겠다고 함,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.84
아니 근데 ㅇㅅㄹ이 ㅇㅇㅇㅇ이랑 사촌이면 제온이랑 아이리스랑 몇촌사이인거야,0,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.05,0.92
계옮헷음 ㅇㅅㄹ,1,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.91
앙스타 아이돌 이름 초성 맞추기 이즈님은 ㅇㅅㄹ ㅁㅇ 유사라 마오,0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.08,0.9
아니 과제 하다가 중간에 ㅇㅅㄹ 뉴스 보고 열뻗쳐서 30분 넘게 열받은채로 아무것도 못하다가 다시 과제해서 좀 오래걸림 ㅎㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.79
ㅇㅅㄹ 내놓는 뉴스마다 그걸 생각나게 해 예전에 같이 일했던 마케터와 사장이 뭐든 이슈만 되면 돼 노이즈든 뭐든 나쁜 것도 이슈만 되면 그게 훨씬 이득이고 돈되는거야 이렇게 말했던게 생각나,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.83
ㅇㅅㄹ ㅁㅇ 10연만에 나와 어,1,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.08,0.89
ㅇㅅㄹ이 정답인데 아무리봐도 ㅇㅅㄹ인데 왜다들,1,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.37,0.64
ㅇㅅㄹ 대통령된 나라에 살기싫다 진심 진심 나라 망할듯,0,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.79,0.11
ㅇㅈㅁ도 존나 싫은데 ㅇㅅㄹ 저 상판떼기를 5년씩이나 볼생각하니까 좀더 혈압이올라 아 뭐어쩌라는거냐 진짜 이게나라냐,0,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.9,0.07
중국 하는 짓이 꼭 ㅇㅅㄹ 적반하장도 유분수 창피함이라는 것도 없나 쪽팔리게 논다 증말,0,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.02,0.12,0.04
ㅇㅅㄹ은 여자여서 거기서 버르장머리만 고치고나오면 그만인데 솔직히 떨 너는 진짜 맞아야돼 어디 새끼가 맨날 학자금 대출 갚는다고 핑계대면서 한달 할부금 제외하면 막 100 200 쓰고댕겼지 너,0,0.32,0.04,0.01,0.02,0.01,0.01,0.01,0.03,0.61,0.07
참나 ㅇㅅㄹ 똥물이 왜 튀냐 제발 관심끊어줘 어디다가 더러운 발을 디미냐 정치하는 사람들 다 저리 가라,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.9,0.08
어이 ㅇㅅㄹ 아재여 점심먹으면서 아재 얘기했더니 아미들 열받았겠다고 별짓거리 다한다잔아요 여론몰아 볼라고 하시는거같은데 당신의 현주소입니다 적당히 하시고 빠져 이씨 숟가락 얹지마쇼 진짜 가만안둔다 #BTSArmy #BestFanArmy #iHeartAwards,0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.67,0.33
그 그분 ㅇㅅㄹ위키,1,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.06,0.91
ㅋㅋㅋㅋㅋㅋㅋㅋ 아이씨 이번 ㄷㅌㄹ ㅇㅅㄹ 당선이면 ㄱㄱㅎ가 외국사절로 나갈때나 어디든 아이돌 불러서 옆에 댈고 다니는거 아니냐고 누나라고 부르라하고 손금 관상봐주고 최악의 상상인데,0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.12,0.85
ㅇㅅㄹ 너툽 영상 신고만 하셨으면 좋겠네요 아미 코스프레하는 글들이 보이기 시작했고 아마 그걸 선거에 이용하려 할 것 같아요 철저한 무관심과 영상 신고가 최선이지 않을까 싶어요 제 생각엔,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.12,0.88
ㅇㅅㄹ 너는 표만 잃었어 알겐니 원래 줄 생각도 없었지만 어디 들러붙어 ㅆ,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.86,0.13
전 그래서 이제 공약을 읽어보고 사실 확인을 하고 있는데 ㅋㅋ ㅇㅅㄹ분 공약 댓글들이 넘 웃겨요 ㅋㅋㅋㅋ 약간 공포물에 코미디 섞은 느낌,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.78
ㅁㅊ 여러분 제발 뭐로든 신고하고 ㅇㅅㄹ 당선되면 나 이민가,0,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.88,0.09
#자캐 이름 최다 득점자 소원 이야 1 3기 자캐들만 모으면 아무도 모를듯 ㅇㄱ ㅁㅇ ㅇㅌ 66ㅎ ㅍㅊㅋ ㅁㅇㅇ ㅅㄹㄹ ㅋㅅㅌㄹ ㄷ ㄹㅇㄴ ㅎㄱㅇ ㅎㅇㅅ ㅊㅅㅌ ㅇㅅㅋ ㅇㅅㄹ ㅅㅁㅋㄹ ㅁㄷㄹㅋ ㄴㅇㄹ ㅅㅎ ㅎㅅㅇ ㅇㅇ ㅂㅅㄹㅅㅋ ㅋㅇㅇㅌ ㄷ ㄹㅅ ㄱㄹㅍ ㄴㅇㅌ ㄱㄱ ㅁㄴ ㅅㅁㅂㄱ,0,0.05,0.91,0.02,0.04,0.02,0.03,0.02,0.02,0.06,0.05
#자캐 이름 최다 득점자 소원 ㅇㅇㅇ ㅇㅌㅋㄹㅅㅌ 수향 ㅅㄹㅇ ㅁㄹㅇㄴ ㅁㄹ 크라운 ㅍㄹㄹ S ㅁㄴㅇㅌ ㄴㅎㄹ ㄹㅇ ㅂㄹㅆ ㅂㄴㅁㄹ ㅅㅇㄴ ㄴㅇ ㅂㅇㄹㅅ ㅇㅅㄹ 아이비 ㅁㄹㅍㅅ ㅇㄹ ㄹㄹ ㅎㄹㅇ 허리나 한소정 ㅁㄹㅋ ㄹㅇ 최수현 한해솔 ㅈㅅ합니다 ㅎ,1,0.04,0.7,0.02,0.02,0.01,0.02,0.01,0.01,0.14,0.13
ㅇㅅㄹ진짜 무식이 철철흐른다 ㅂㄱㅎ보던느낌,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.51
#자캐 이름 최다 득점자 소원 ㅇㅈㅅ ㄴㄱㅈㅎ ㄱㅂㅊ ㅈㅎㅇ ㅂㅇㅊ ㄱㅈㅂ ㅁㄷㅊ ㅂㅅㅇ ㄹㅅㅇ ㄱㅊㄱ ㅋㅅㅂㄹㅇㅋㅁ ㅇㅅㄹ ㅊㅈㅇ ㅊㅎㄹ ㄱㅇㅅ,0,0.03,0.76,0.02,0.02,0.01,0.02,0.02,0.01,0.16,0.08
#자캐 이름 최다 득점자 소원 ㅇㅇㅇ ㅇㅌㅋㄹㅅㅌ ㅅㅎ ㅅㄹㅇ ㅁㄹㅇㄴ ㅁㄹ ㅋㄹㅇ ㅍㄹㄹ S ㅁㄴㅇㅌ ㄴㅎㄹ ㄹㅇ ㅂㄹㅆ ㅂㄴㅁㄹ ㅅㅇㄴ ㄴㅇ ㅂㅇㄹㅅ ㅇㅅㄹ ㅇㅇㅂ ㅁㄹㅍㅅ ㅇㄹ ㄹㄹ ㅎㄹㅇ ㅎㄹㄴ ㅎㅅㅈ ㅁㄹㅋ ㄹㅇ ㅊㅅㅎ ㅎㅎㅅ,1,0.04,0.64,0.02,0.02,0.01,0.02,0.01,0.01,0.18,0.12
#자캐 이름 최다 득점자 소원 이거 다 맞추는 사람이 있을까 트위터에 언급한캐들만 모앗어요 ㅂㄹ ㅇㅅㄹ ㅈ ㄹ ㅇㅅㅇ ㄹㅇㄴ ㅅㅇㅌ ㅅㅇㅌ ㅋㅅㅇ ㄹㅇㄴ ㅎㅂㄴ ㅅㄹㄴ ㅇㅅㅌ ㅇ ㅎ ㅎㅅㅇ,0,0.04,0.77,0.02,0.04,0.01,0.02,0.01,0.01,0.14,0.09
#자캐 이름 최다 득점자 소원 커뮤완주한애들만적을개 ㅂㅌ ㅅㄹㄴ ㅍㄹㅍㄹㅌ ㅂㅂㄴ ㅅㄹㅅ ㅇㅍㅋㄹㅇ ㅅㅎㅅㄹ ㅅㄹㄷ ㅍㄹㄹㅅ ㅂㄹㅋ ㅍㄹㄹㅇ ㅋㄹㅍ ㅅㅍㅇ ㅂㄹㅅ ㅇㅁㄹ ㅈㅇㅂㄴ ㅇㅌ ㅂㄹㅎ ㅈㄴ ㄹㅈㅁㄹ ㅅㅈㅋ ㅎㅋㄹ ㅁㄴ ㅇㅅㄹ ㅊㅅㄷ,0,0.04,0.76,0.02,0.02,0.01,0.02,0.01,0.01,0.17,0.07
#자캐 이름 최다 득점자 소원 ㅎㄴㅇ ㄱㅁㅇ ㅊㅎㅈ ㅎㅇㄹ ㅇㅅㄹ ㄱㅅㅎ ㅈㄷㅇ ㅈㄱㄹ ㅋㅋ ㅇㅇㅋ ㅂㅅㅎ ㄱㅇㅇ ㅈㄷㅎ ㅋㅇㅌ ㅇㅊㅇ 두명빼고 다 세글자야 ㅋ ㅋㅋㅋㅋㅋㅋㅋ,0,0.03,0.79,0.02,0.03,0.01,0.02,0.01,0.01,0.15,0.07
이제야 겨우엔딩 한개반을 본사람의 와 잡는사람많겠다 목록 ㅋㄴ ㅇㅅㄹ ㅇㅌ ㅇㅊㄱ 순서였다,1,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.9
#자캐 이름 최다 득점자 소원 ㅈㅎㅇ ㅂㅅ ㅇㄷ ㅋㅇㄷ ㄹㅅ ㄹㅅㅇ ㄴㅇ ㅎㅇㅌ ㅅㄴㅇ ㅇㅂㄴ ㅇㄷ ㅎㅇㅌ ㅇㄷㅎ ㅇㅅㅎ ㅇㅇㅈ ㅎㄴ ㅇㄹㅂㅅ ㅇㅇㄴㅇ ㅇㅅㄹ ㄹㅊ ㅌㅇㅎㄹ ㅇㅎ ㅈㄴㅂㅂ ㅇㅈㅇ ㅇㅂㄹㄴ ㄷ ㄹㅅㄹㅅ ㄷㅎㅇ ㄷㅎㅈ ㅇㄹㅇ ㅎㅇㅌ ㄹㄹㄹㅈ ㅎㅇㅌ,0,0.03,0.73,0.02,0.02,0.01,0.02,0.01,0.01,0.14,0.11
#자캐 이름 최다 득점자 소원 ㄹㅅㄴ ㅇㅅㄹ ㅎㅈㅎ ㅇㅅㅎ ㅅㅅㅎ ㅍㄹㄹㅌ ㅇㄷㄹㅇㄷ ㅁㄹ ㅅㄹㅁ ㅈㄴㅍ ㅋㄹㅇㄷ ㅅㅎㅅ ㅇㅈㅇ ㄱㅂㅇ ㅈㅇㅅ ㅌㄴ ㅎㄷㅇ ㅅㅇㄴ ㅅㅇㅌ ㅁㅊㅇ ㅁㅇㅇ 더 이상은 캐가 기억안나,0,0.03,0.77,0.02,0.03,0.01,0.02,0.01,0.01,0.14,0.1
#자캐 이름 최다 득점자 소원 기억 나는 커뮤캐만 쇽 ㅇㄱㅎ ㅅㄱㅁ ㄹㅁㅇ ㄹㅂㅌ ㄹㅅㅇ ㅅㅇㅌ ㅎㅌ ㅇㅅㄹ ㅅㅎㅂ ㅅㅌ ㅎㅋㄹ ㅇㅂ ㅅㅌㅇㅌ ㅅㅎㄹ ㅇㅅㅌㄹ ㅇㄷㅂㄹ ㅅㄹㅍㅅ ㄹㅋㅍㄹ ㅋㄹㅇㄴㅅ ㅅㅋㄹㅁ ㅇㅅㅌ ㅌㅇㄷㅇ ㅍ ㄹㅇㄴㄹㅋ,0,0.03,0.62,0.02,0.02,0.01,0.02,0.01,0.01,0.17,0.15
아무래도 이거는 수시납치 당한다는 소리겠지 감사합니다 서ㅇㅅㄹ대 총장님,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.78
#자캐 이름 최다 득점자 소원 ㅎㅅ ㅂㅇㅇ ㅇㅍㅌ ㅇㄷㅇㅌ ㅇㅇㅇ ㅇㅌㅈㄹ ㅊㄴㅇ ㅅㄱㅈ ㄷㅂㅊ ㅇㄷㄹㅇ ㅋㅂ ㄱㅂㄹㅇ ㅋㅇ ㅎㅈㅇ ㄹㅋㅇ ㄹㅅㄷ ㅇㅋ ㄱㅃㄲ ㅇㅅㄹ ㅎㄷ ㅇㅍㄹㅇ ㅎㅊ ㄴ ㄴㅂ ㅎㄹㅇ ㅊㅇㅁ ㅇㅅㅇ ㄷㅂㅇ ㅁㄱㅇ ㅅㅇ ㅇㄷㅇ ㅇㅎㄹ,1,0.04,0.71,0.02,0.02,0.01,0.02,0.01,0.01,0.13,0.14
#자캐 이름 최다 득점자 소원 ㅍㄴㄹㅍ ㅇㅈ ㅂㅂㅊ ㅅ ㅍㄹㅌ ㄷㅈㅇ ㄹㅈ ㅎㅍ ㅇㅅㄹ ㄹㅌ ㅇㅌㄹㄱ,0,0.03,0.83,0.03,0.03,0.01,0.02,0.02,0.01,0.14,0.07
#자캐 이름 최다 득점자 소원 근데 커뮤캐 많이 없음 ㅎㄹ ㅁㄹ ㅎㄹ ㅇㅅㄹ ㅇㄴㅅ ㅋㄹ ㅅㅎ ㅋㄴㅅ ㄹㄴ ㅇㅇㅎㄹ ㅇㅇㅇ ㅇㅋ ㅂㅎㄹ ㅂㄹ ㄱㅌㄹ ㅇㅇㅂ ㅎㄹ ㄱㄹㄹ ㅎㅅㄹ ㅎㅅ ㅇㄹ,0,0.04,0.7,0.02,0.03,0.01,0.02,0.01,0.01,0.15,0.1
#자캐이름최다득점자소원 ㄴㅌ ㅅㄹㄴㅌ ㅋㅌㄴㅇ ㅇㅅㄹ ㅇㅂ ㄴㄷㅇ ㅁㅋㅇㄹ ㅂㅅㅇ ㅇㅁㄹㅇ ㅇㄷㄹ,0,0.04,0.88,0.02,0.03,0.01,0.02,0.02,0.01,0.09,0.05
ㅇㅅㄹ 이름 초성으로 오소리 의혹 붉어져,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.18,0.72
#자캐 이름 최다 득점자 소원 커뮤캐들만 ㅋㅁㅇㅇ ㅇㅅㄹ ㅅㄹㅂ ㅂㅇ ㅌㅋㅁ ㅅㅌ ㅇ ㄹㅇ ㅎ ㅇㅌ ㄱㅇㅇ ㅇㅅㅇ ㅅㅇㅇ ㅇㅎㅅ ㄴㅅㅈ ㄱㅅㅇ 다쓰고 보니깐 있을까,0,0.04,0.82,0.03,0.04,0.01,0.02,0.01,0.01,0.11,0.06
#자캐 이름 최다 득점자 소원 ㅇㅂㅎ ㅅㅇ ㅇㅅㄹ ㄱㅎ ㅂㄹㄴ ㅇㅎ ㅈㅅㅇ ㅎㄹㅇㅅㅅ ㅂㄴㄷㅌ ㄱㅂㄹㅇ ㅎㄱ ㄴㅇㅇ ㅎㅇㅇ ㅊㄴㅂ ㄹ ㅂㄹㅋ ㅇㅅㅇ 어디한 번 맞춰보시죠,0,0.04,0.78,0.02,0.03,0.01,0.02,0.01,0.01,0.14,0.09
ㅇㅅㅎ ㅇㅈㅅ ㅇㅅㄹ 노년에 시름시름 앓다 가시길,1,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.23,0.69
사실 ㅇㅅㄹ은 본인이 너무 역케리중이라,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.87
앙 ㅇㅅㄹ 마오 성우 ㅋ 아케치 성우임 동공지진,1,0.02,0.02,0.01,0.04,0.01,0.02,0.01,0.01,0.06,0.89
#본사람다하기 이름 ㅈㅎㅅ 나이 26 키 166 몸무게 80 언저리 MBTI INFP 지갑잔고 0원 통장잔고 일곱자리 거주지 ㅇㅅㄹ 폰기종 갤럭시Z플립3 취미 게임 덕질 자전거 언어공부 등,0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.86
울 부모님 딸이 둘인데 손녀도 있는데 집에 고양이도 있는데 그래도 ㅇㅅㄹ 뽑으시겠지 속상하다,1,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.82
#자신의 본명 초성을 보고 트친이 상상한 이름 ㅇㅅㄹ 특이하죠,0,0.05,0.03,0.08,0.02,0,0,0.01,0.01,0.23,0.5
ㅇㅅㄹ 진짜 졸라 무례한 새끼다 저게 한국 제1야당에서 새운 대통령 후보다,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.88,0.1
