text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
"윤석열은 대장동 특검해서 누가 대통령된다 
해도 대통령직도 걸자는데 대답을 못하네 바지에 지렸어? 왜줘뢰ㅋㅋㅋ
다당제는 심상정 같은 게 겨나와서 시끄럽게 하는 것 꼴보기 싫으니 일단 정의당은 소멸 시키고 다당제를 하던지 말던지 ㅋㅋㅋ",0.05,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.61,0.05
성범죄자는 감옥에 보내자를 정의당이 합의를 해놔야 나중에 걔네가 바라는 성중립화장실(강남역 노래방 살인사건처럼)에서 성범죄가 발생해도 정의당애들이 마디못해 신고를 할거 아냐. 고 정도 합의는 하고 토론을 끝내죠...,0.08,0.01,0.05,0.01,0.0,0.01,0.01,0.05,0.32,0.25
"니들이 뭘 찍든 상관 안 하는데, 트젠 때문에 정의당 싫어서 못 찍는 거고 정의당이 페미 팔이하면서 표를 뺏어가서ㅋㅋㅋ 여성을 위기에 몰아넣고 있다고 하는 순간, 그거는 페미니즘 때문에 민주당 찍으면 안 된다는 이준석식 혐오정치임을 알기 바람",0.23,0.01,0.56,0.02,0.01,0.01,0.01,0.07,0.09,0.08
"심상정…
지난 대선에 비해 지지율이 절반이 되었다면 그에 대한 반성을 먼저 해야 하는거다. 왜 그리 되었을까..? 왜 이 엉망인 대선에서조차도 당신네들이 대안 세력이 되지 못했을까? 
삽질도 삽질도 이런 삽질이 없는거다. 민주당은 망해야 하는거고, 정의당은 새로운 진보가 대체해야 한다.",0.07,0.01,0.01,0.03,0.01,0.02,0.01,0.06,0.58,0.1
"@PcBEdVDcJDdd3AB 이재명 뽑아줘야 정의당 유지됩니다, 진짜!",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.89
@8yearscat 정확해요. 우리 문프님 보고 입당한거지. 민주당 때문이 아니었죠. 문프가 국힘이었음 국힘 갔을거고 정의당 이었으면 정의당 갔죠.,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.06,0.88
@janghyeyeong 정의당이 잘한게 도대체 뭘까..?,0.02,0.0,0.02,0.23,0.0,0.01,0.01,0.03,0.23,0.23
박원순 안희정 얘기로 서로 공격하는 와중에 정의당은 다들 관심 밖인지 물어보지도 않는듯? 민주당 이차가해는 일단일차가해 인정해서 징역보내놔서 그런건데. 성범죄로 토론할거면 좀 다들 열의를 가지고 해줬으면..  ^^,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.34,0.53
정의당 자꾸 소수자 다 쓰까먹지마 은근슬쩍 여성 키워드 몇마디 던져넣지마,0.46,0.01,0.19,0.02,0.01,0.02,0.01,0.3,0.14,0.05
정의당 1.5% 예측.,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.06,0.89
상정아 이번 대선 이후에 정의당은 사라질것이다,0.12,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.57,0.14
"정의당의 지지율 3%는
자업자득이잖아
5% 누구당 처럼",0.07,0.0,0.01,0.02,0.01,0.02,0.01,0.04,0.33,0.22
정의당은 ㅋㅋ 성범죄자 공동체적 해결은 왜했냐고 아무도 안 물어보냐 내가 잠깐 밥 먹고 온 사이 이미 물어봤나?,0.07,0.01,0.02,0.02,0.01,0.02,0.01,0.1,0.6,0.13
"정의당은 늘 민주당에 ""자 1번 2번 3번 중에 1번은 답이 아니고 2번도 답이 아니죠 그럼 답이 뭐겠어요?""
하는 식으로 오답노트 만들어주는 정치를 해왔는데
민주당은 늘 ""그…… 평균을 내면 2번이니까 2번으로 추진해야 하지 않나""
하는 식으로 정치를 함",0.03,0.01,0.01,0.01,0.0,0.01,0.01,0.03,0.25,0.47
둘다 진짜 싫다 -전 정의당원-,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.8,0.14
피해자 이용해서 상대방 비난하는 걸 피해자 위한다고 생각하는 저열한 심상정과 정의당 https://t.co/GlM9BZYYLD,0.04,0.01,0.01,0.02,0.0,0.01,0.01,0.04,0.46,0.28
정의당 후원.. 해야지…. 전략 투표해야 할 것 같으니까..,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.86
심상정 이번 대선 행보 지지하지만 그래도 이 찍겠단분들은 정의당 후원이나 당원 가입이라도 했으면 좋겠다. 적극적인 지지 표명이라도 했으면. 정의당에서 정의의 범위를 소수자 인권과 기후정의로 넓히는 메시지 내는 데 리스크 없었을리 없으니까. - 기후후보 찍을 예정인 녹색당원,0.02,0.01,0.1,0.01,0.0,0.01,0.01,0.04,0.12,0.48
정의당과 지지자들이 요모양 요꼴인 정치동아리로 전락한 이유: 정치를 설득없이 날로 먹으려고 하거나 그 과정에서 발생하는 반발과 저항을 감당할 능력이 안되기 때문. ‘사회적 합의’라는 단어에 발작하는데는 다른 이유가 없음,0.06,0.01,0.01,0.02,0.01,0.02,0.01,0.12,0.48,0.12
"그리고 정의당이 성소수자 챙겨서 (ㅋㅋ) 정의당 못 찍겠다는여자들... 그래서 민주당 찍는 거니까 트젠 문제에 페미 팔지 말라는 여자들 웃기기 짝이 없음...
니들은 원래도 민주당 찍었잖아요. 언제는 여자들이 성소수자 신경 쓰면서 선거한 거처럼 이제 와서...",0.43,0.01,0.51,0.02,0.01,0.02,0.01,0.08,0.07,0.05
"뭐라는 거야 이 등신은,, 비례 정당 정의당 위주로 만들자고 판 다 깔아주고 몇십석 먹을 기회 배려해 줬는데도 괜히 곤조 부리면서 지들이 발로 뻥 차버린 주제에. 
기억력이 나쁜거야 아니면 보고싶은대로만 보는 거야,, https://t.co/BegW6VNHti",0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.04,0.89,0.04
"그 때 정의당 대표로써 차별금지법, 비동의강간죄 법률 제정 등 주장하던가. 

정의당은 남탓, 책임 전가가 특기인가?",0.11,0.01,0.2,0.05,0.02,0.03,0.02,0.54,0.28,0.04
정의당은 페미니즘당인가?,0.75,0.01,0.02,0.02,0.01,0.01,0.01,0.05,0.08,0.22
"당대표가 성희롱 사건으로 사퇴한 원내 최초 정당이 '진보정당' 정의당인데, 그것부터 사과해야 되지 않겠니.",0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.29,0.53
심상정은 이번이 자신의 마지막 정치토론인 걸 알고 저렇게 발악하는 건가... 심대표를 보니 정의당의 멸망이 눈에 보인다... 노회찬 대표가 그립다... 이 와중에 윤석열 전국무식자랑 ㅎ ㄷ ㄷ,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.52,0.14
정의당 공보물엔 왜 차별금지법이 없죠??,0.11,0.01,0.23,0.03,0.02,0.03,0.02,0.56,0.13,0.08
아마 정의당 같은 무능한 마포구 지역정당을 지지하는 일에 대해 사회적 합의가 잘 안 돼서 원내 6석 된 것 아닐지 되돌아보는 건 어떠실까요,0.02,0.01,0.01,0.02,0.01,0.15,0.01,0.01,0.05,0.79
@Kr_Justice 3글자 나??,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.9
"@Kr_Justice 
혼자 떠드네 ...
궁시렁 궁시렁 하지 마세요 1.5%
질문하라고 하잔아요 ...사회자가 ....",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.61
심상정 후보한테 실망할 필요 없음. 원래 정의당 정체성은 노동자 신분임. 상대적으로 숫자가 적고 발언권이 적을 수밖에 없는 '좌'를 지향하다 보니 쪽수 늘리려고 여성을 끼우는 거임. 비단 정의당과 대한민국만의 문제가 아니라 전세계적인 현상이다. 여자 끼워서 쪽수 늘리기.,0.55,0.01,0.02,0.02,0.01,0.01,0.01,0.05,0.17,0.18
동아리 정의당이야 사회적합의 따윈 필요도 없지,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.18,0.75
"그런데 선대위라는게… 선거기간에는 진짜 오픈카톡방, 연락처 복사 붙여넣기 같은거라 (ex. 정의당 당대표한테 임명장 날리는 국힘) 중앙당, 후보 개인이 컨트롤하기 어려운 부분이다.",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.9
정의당 소멸도 얼마 남지 않은 듯... https://t.co/RqmCXhzNob,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.3,0.38
이번 대선을 계기로 정의당 까방권을 박탈시켜야 함. 그래야 진보정치도 발전하지. 아우.,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.44,0.33
아니 그럼 사회적 합의가 젤 중요하지 뭐 대통령이 총통마냥 밀어붙여야 되냐고ㅋㅋㅋㅋㅋㅋ 정의당의 민주주의는 그런거야?,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.59
"이준석 때문에 ""'여성들이' 어쩔 수 없는"" 게 아니라 그런 식으로 정당화하면서 정의당 욕하고 싶어하는 님들이 어쩔 수 없는 거겠죠...ㅋㅋㅋㅋ 
민주당 뽑을 거면 뽑으세요. 근데 니가 뭐라고 여성을 대표해서 정의당한테 준엄하게 침묵을 요구하는거임? 나머지 여자들은 빙다리 핫바지냐?",0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.53,0.14
심상정 정의당 장혜영 불륜 문제 해결은 왜 말 없냐? 불륜남의 아내는 여자 아니냐?,0.43,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.18,0.39
"심상정은 진짜 실명 언급 좀 안했으면... 정의당이 2차 가해자라는거... 피해자 아버님이 눈물 흘리면서 토론회 봤다는 뉴스를 안본건가?? 도대테 정의당 대표가 진찌 어이가 없네요~~ 노동자를 위하고, 여성을 위한 당에서 2차 가해를 하고 있네요~~~",0.12,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.5,0.15
"엄흐낰 ㅋㅋㅋㅋㅋ 페미니즘으로 성 갈라치기는 국힘당 다음으로 너네 정의당이 제일 열심히 하고 계세요. ㅋㅋㅋㅋ 

제발. 심상정님. 너네 당부터 단속하세요.",0.49,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.32,0.09
심상정의 질문에 버럭 화 냈다는 윤석열이를 보니 18대 대선 TV토론에서 '박근혜 당신을 떨어뜨리겠다'고 '대들다'가  박근혜정권에 의해 강제 해산당한 통일진보당처럼 윤석열이가 당선되면 정의당도 해산당하는건 아닌지... https://t.co/IzYn3QicvD,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.23,0.6
@wormkid 심상정도 대선 후보로 본인이 이기러 나온 거지 다른 후보 지원하러 나온 건 아니니까ㅋ 정의당은 여기 가면 국힘2중대다 저기 가면 민주당2중대다 맨날 얻어맞기 바쁘네,0.04,0.01,0.01,0.04,0.0,0.01,0.01,0.06,0.45,0.15
"그니까 정의당이랑 민주당이랑 힘을 합쳐야지,,",0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.88
"정의당 심상정 후보님 오늘(2일) 토론회에 어디 가셨어요?
그렇게 타후보로 부터 관심과 질문도 없으면서 완주하실 것입니까? 지금과 같은 지지율이 계속된다면 어차피 후보님의 표는 사표(死票)입니다.
진보세력의 지속적인 개혁과 통합의 정치를 위하여 이재명후보를 지지하고 사퇴하셔야 합니다. https://t.co/JKquSWPfqy",0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.09,0.86
@Kr_Justice https://t.co/XzNZFyg3wT,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.07,0.89
"보통은 자당 후보 잘했다는 말을 하는게 우선인데....

정의당은 걍 패쑤~~~~하네. https://t.co/bnIppC2Kds",0.04,0.02,0.02,0.01,0.0,0.02,0.01,0.06,0.4,0.14
@BristolBrian 그렇게 다당제 하고 싶으면 정의당이 할수 있는 당이 되면 될것을 왜 민주당한테 다당제 안해 준다고 난리냐? 본인들이 왜 뽑히지 않는지에 대한 반성은 없고 매번 민주당 욕만하니 국민들이 뽑아 주겠냐? 국민들이 원하는 당이 먼저 되세요.아 그리고 종편도 아니고 국힘당 욕도 비슷하게 합시다.,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.68,0.2
"객관적으로 여자들은 민주당에 대한 신뢰를 잃었고, 그 신뢰는 회복이 되지 않고 있음. 이재명이 근 한달 사이에 급하게 페미 어필을 했으나 회복하기엔 역부족이었음. 왜? 지난 5년간 쌓여온 게 있어서.
그런데 이게 정의당 탓이고 성소수자 탓이니?
그냥 민주당이 스스로 불러온 결과임.",0.22,0.01,0.07,0.01,0.01,0.01,0.01,0.03,0.09,0.38
"솔직히 지난 토론 동안은 심상정 후보 공약이나 토론 내용 그저 그렇네 생각하고 있었는데 오늘은 많이 내 생각이랑 결이 비슷해서
그리고 오늘 민주당 지지자들 조리돌림 덕에 정의당 쪽으로 다시 기욺",0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.16,0.75
정의당이 거대양당이 여성혐오 문제에 침묵했을때 나서서 목소리를 냈던 순간을 기억하고 그런 부분은 참 좋게 생각하지만.. 정의당을 '여성을 위한 당'이라고 말하고 싶으면 트젠권을  배제해야죠.. 페미니즘이랑 트젠권이 어떻게 같은 방향을 바라볼 수 있는지?,0.18,0.01,0.3,0.02,0.01,0.01,0.01,0.04,0.05,0.3
"저는 정의당이 살길은 창조적 파괴 즉, 1인정당으로 모두 해산 후에 대통합하는 방식 밖에 없다고 생각합니다. 1인당으로 해체 한후에 진보대통합.... 크으! 뽕찬다",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.58
"트위터에서 소신투표하는 사람한테 대책 있냐고 까는 글도 올라오고 전락투표 하자 말자 말이 많은데
정의당은 정의당 후보를 위한 선거운동을 하는 게 맞고 그걸로 뭘 비판하기는 어렵지 않겠습니까,,",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.87
"안될거 알아도 정의당에선 후보를 낸 이상 저런말 할수밖에 없긴함
그럼 자기당 후보 냅두고 민주당을 쌍수들고 환영하리 ㅋㅋ",0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.14,0.81
@iamzzangga 사퇴하는게 정답인데. 정의당 선거비용도 없는데. 쫄딱 망하겠다,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.57,0.23
"나도 내가 영혼의 정의당 커버 치고 있다는 거 아는데
영혼의 민주당 커버 치는 사람이 수 만 명 있는 트위터면
나라도 얘기할 건 얘기해야지…….",0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.33,0.62
심후보 노동자 어쩌구 하는 거 별로 놀랍진 않음 정의당 정체성 원래 저거임,0.04,0.0,0.01,0.02,0.0,0.01,0.01,0.03,0.29,0.33
지난 총선 변태적 위성정당의 가장 큰 피해자 정의당. 백번 옳은 얘기다. 각자가 판단할 일. 강요해서는 될 일 아님. 대한민국 미래를 위해 이재명이 양당제 개혁 약속을 지켜야한다. https://t.co/bkVeNNOHdj,0.02,0.0,0.01,0.02,0.0,0.01,0.01,0.02,0.2,0.6
@Kr_Justice 이거 보고 계시죠? @sangjungsim 토론 이후에라도 꼭 해주셨으면 좋겠습니다. https://t.co/XTVLWszO5H,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.13,0.81
"심상정 말이 틀린말은 아니지만, 그렇다면 본인은, 정의당은 뭐했을까?? 양당을 지적하고, 비토하고, 훈계질 하는거 말고.. 그대는 무엇을 했던가..😶",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.36,0.51
@3team2time ㅋㅋㅋ정의당 지지한 여성표 &lt;&lt;&lt; 민주당 지지자의 비례표일 것 같은데요^^ 조까네,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.67,0.32
"심상정의 거대양당 타령돔 그만했으면,
평시에는 정의당 아무것도 안하고 국힘당과 한패먹고 이제와서 걸핏하면 거대양당 타령!

왜 안했니 너는?
국힘당 수꼴제2중대 주제에 말 참 지저분하고 비겁한 정의쌍것!
혐오대상!",0.05,0.01,0.01,0.08,0.02,0.02,0.01,0.24,0.57,0.03
이주민에 대한 복지등의 제도적 차별 문제. 역시 정의당이기에 제시 할 수 있는 문제.,0.02,0.01,0.02,0.11,0.01,0.01,0.01,0.02,0.05,0.78
ㅋㅋㅋㅋ.. 울집 부모님들 지역이 지역이다보니 엥간하면 민주당 찍는 집인데 엄마랑 여성인권관련으로 지난 선거 비례 막 얘기해서 엄마도 정의당 찍으셨거든... 나도 그렇고... 뭔가 좀 허탈하고 화난다...ㅋㅋㅋ,0.05,0.01,0.01,0.01,0.01,0.25,0.01,0.02,0.08,0.52
@pretty81phy 정의당은 날샌지 오래에여..정의당이라는 당명부터 개명해야 할듯여..국힘 사촌당으로!,0.03,0.01,0.01,0.03,0.0,0.01,0.01,0.04,0.24,0.25
ㄹ) 김용균? 모름. 정의당은 노동에서 페미로 갈아탔거든. (그것도 선택적 페미로.),0.76,0.01,0.02,0.03,0.01,0.01,0.01,0.07,0.11,0.18
@nsnforkkk 그냥... 너무 싫어졌어 정의당 심상정이...,0.03,0.0,0.01,0.04,0.01,0.02,0.01,0.03,0.46,0.22
오늘도 180석 갖고도 아무것도 안한 민주당 운운하시는 심상정 후보. 화난거는 잘 알겠는데 대선 토론에서 본인 원한발산 작작 좀 하시라. 그러는 정의당은 의석수나 후보 지지율이나 왜 아직도 그 모양 그꼴인데? 자신들의 무능에 대해 성찰 좀 하시길. 당신네들 일침놓는 위치에 놓인 사람들 아니다.,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.74,0.12
@2015_12_26 정의당 의원이 정의당 후보를 지지하는 거야 당연하지만 국힘 지지자들이 여성 시위자에게 폭행을 휘둘러도 한 마디 안 하면서 무슨 여성주의 운운을 하냐구요.... 정말 실망스럽습니다..,0.08,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.44,0.48
코카-정의당 https://t.co/hbTWxRlMKB,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.08,0.89
"심상정이 저지랄 하니 변영주 감독이 심상정이를 버리고 이재명 후보 지지를 선언한 것이겠지

메갈정의당은 심상정이를 버려야 정의당으로 거듭날 수 있을 듯...

정의당 당원, 지지자 여러분~~~~!!!
심사숙고 해 보시길 ...",0.82,0.01,0.02,0.04,0.01,0.02,0.01,0.06,0.11,0.09
"시장이랑 국회의원선거는 우리지역이 늘 접전지역이었구, 전 시장이 영... 일을 너무 못해서... 교통문제 때문에 복장터져서 어떻게든 이겨야했던 상황이라 민주당에 표줬던거구, 대선이랑 비례는 항상 정의당에 줬었는데...",0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.07,0.88
정의당보다 심상정한테는 믿음이 있었는데 둘다 좆같다 그냥 꼰대 할머니 같어 정의당과 함께 좀 사라져라 ㅋ,0.26,0.01,0.02,0.04,0.35,0.03,0.01,0.22,0.22,0.04
노동 이슈는 어쨋거나 아직 정의당이다.,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.9
"Q) 정의당은 해당 입법 추진을 위해서 어떤 노력을 했는지, 법안은 발의했는지 매우 궁금함. 민주당보고 입법활동 제대로 안한다고 욕만 하길래 매우 궁금해짐. 혹시 아시는 분? https://t.co/IMXEhJJnIX",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.11,0.85
심상정은 진짜 좀 신중했으면 싶다... 무분별한 실명 발언은 2차 가해가 될수 있다는것 모르나??? 저번에도 그러더니 또 그러네... 정의당이 저런식이면 진짜 곤란하죠~~,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.58,0.16
고 김용균 .. 사건에 정의당은 뭐했는지 궁금한.,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.86
아 근데 심상정 이재명보고 왜 민주당이 법 안만들었냐 하는건 사알짝 좀 킹받네 그럼 정의당 의원들은 왜 만든 법 기권했어요?,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.18,0.75
심상정 쓸데없 팩트로 정확하지않은얘기로 따지기나하고 토론의 질을낮추는것과동시에 시간이 너무아깝게 느껴집니다.쌈닭같아요.정의당이 예전의 정의당 모습이전혀 느껴지지않네요.,0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.32,0.55
국힘당 2중대가 바로 정의당인거구나. 엄청나다 심상정. 그동안 줬던 비례표가 너무 아깝다.,0.09,0.0,0.01,0.06,0.0,0.01,0.01,0.06,0.34,0.1
심상정은 여전히 뺑덕어미네. 정의당은 선거철만 노동자 위하는척 생색내지 말고 평소에 좀 잘해봐라. 요증 정의당은 페미양아치당이라 생각하지 노동자 생각하는 당이라고 누가 생각하나.,0.83,0.01,0.02,0.05,0.01,0.02,0.02,0.11,0.14,0.06
"헐..심마녀는 민주당이 움직일때 굿당처럼 방목잡고 딴지 걸었으면서 ㅡㅡ 윤짜장이 말도 안되는 말을 하면...""혁신적이다"",""놀랍다""등 세상 인자하게 포장해주네...그리고 대신 말해주고 ㅡㅡ정의당을 망치는 일등공신 ㅡㅡ",0.07,0.01,0.01,0.03,0.0,0.01,0.01,0.02,0.43,0.35
정의당 의원 표결권한 10배로 늘려주는 법안조차도 표결에 들어가면 정의당은 불참할듯....!,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.33,0.36
심상정은 산재로 몇명 죽었는지는 알지만 노동자는 정의당을 찾아가지 않는다.,0.06,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.25,0.48
"심상정: 여태 법 안만들고 뭐했냐

이재명: 그럼 뭐 날치기 하라고?

심상정과 정의당은 가장 중요한 순간에 기권던지고 반대 눌러놓고 누구 앞에서 핏대를 올리니",0.04,0.01,0.01,0.03,0.0,0.01,0.01,0.03,0.51,0.18
"안철수와 심상정은 대선토론에 나와 질문하고 답변하는거 보면, 딱 그거때문에 대선나온듯.

 '나 너보다 많이 안다.'
 그걸로 세샹에 얼굴팔아 보유주식 가격급등하고 정의당 팔고, 저것들이 이나라 정치력을 얼마나 끌어내리고 있는지. 절대로 깨닳지 못할것임~~",0.04,0.01,0.01,0.04,0.0,0.01,0.01,0.04,0.58,0.11
"지금 '왜 정의당은 민주당 표만 뺏어가려 하냐'(?몰라서 묻는지) 하는 사람들이 장혜영 의원이 국민의힘 공격할 때는 얼마나 밀어줬는지…… 우에카라메센으로 비꼬기나 했지.
트윗 중에서도 민주당 비난만 골라서 조리돌리는 게 뻔한데 항상 본인들만 억울하고…….",0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.62,0.24
더불어민주당과 정의당이 연정해서 통합정부 만드는 것도 괜찮을 것 같은데,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.05,0.92
햐 심상정 끝까지 통한의 실수를 바로잡지 않고 그냥 독고다이의 길로 정의당을 보낼 모양이네.,0.03,0.01,0.01,0.01,0.0,0.01,0.01,0.03,0.42,0.41
몰겠다... 시장선거 빼고는 지난 선거들 항상 정의당에게 표줬던 입장에서 여성정책 발의 법안 적다는건 넘 충격적이고 화남,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.78
이준석 저격은 정의당에서 많이 했는데? 민주당은 정의당 탓할 게 아니라 느그 ‘여리’ 문낙파나 탓해라. https://t.co/TZUvSyjfMK,0.07,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.68,0.19
@2015_12_26 그걸 정의당 의원들까지 말하는 꼴이라서 환멸감 드네요...,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.35,0.53
앞으로 정의당의 표결참석시 표를 한표가 아니라 10표로 하느 법안을 내주십시오.... 그래야... 정의당의 표결효용감이 높아질것 같으니^ㅏ(웃음),0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.79
"지난 대선에는 정의당에, 지난 총선에는 여성의당에 표를 준 여성들이 정의당에 분노하고 있는데 자꾸 민주당바이럴이래 https://t.co/utEqP3QTm5",0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.81
@cr25ho 정의없는 정의당 세월따라 늙기만 하고 국비만 축냈지 한거 뭐 니? 심상정아,0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.64,0.07
정의당은 왜 국민의힘에게는 한마디도 하지 않는지 ? 거기가 더 심각하거든요 ㅋㅋㅋ 민주당한테 갈 표 털어서 좀 가져오면 뭐합니까 사실 민주당보다도 여성을 위한 일은 덜하는 당이 정의당 같은데요 ㅎㅎ 저도 작년까지는 정의당 지지자였어요 ㅎㅎ 최근 행보가 너무 실망스러워서 ㅋㅋ,0.13,0.01,0.01,0.02,0.0,0.01,0.01,0.04,0.27,0.41
지금은 정말 이재명과 윤석열의 대결이 아니라 민주당과 국힘의 대결인데 그 대결에서 민주당이 훨씬 우세했다면 원래 다짐했던대로 심상정(과 정의당)을 뽑았겠지... 근데 아니잖아... 심상정 지지율은 내내 한자릿수인데 이재명이랑 윤석열은 박빙이고 그마저도 이재명이 약간 열세한 수준이고...,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.09,0.85
심상정 저 화상도 배부른 돼지 증후군에서 평생 벗어나지 못해 민중들 사이에서 영양가 없는 것이다. 내가 정의당 후보라면 이곳 광주에서도 최소 20% 자신 있다. 심상정이나 여자들 일반은 사고력이 없다. 그러니 사람 마음을 읽지 못한다.ㅠ 당근 페미니즘이 뭔지도 모르고..천상천하 이상봉 독존,0.4,0.02,0.02,0.02,0.03,0.78,0.02,0.14,0.05,0.03
심상정 정의당과 함께 침몰중,0.06,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.28,0.45
ㅋㅋ정신차리고 보니 오늘 착장 약간 인간정의당 https://t.co/IUf7KaSHzQ,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.22,0.79
심상정이 죽어야 정의당이 산다,0.2,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.31,0.15
"정의당 심상정 후보님 지금과 같은 지지율이 계속된다면 어차피 후보님의 표는 사표(死票)입니다.
잘 아시겠지만, 진보세력의 지속적인 개혁과 통합의 정치를 위하여 이재명후보를 지지하고 사퇴하셔야 합니다.
사퇴가 국민을 위한 것이고, 또한 정치발전이며 당신이 원한 정치개혁입니다. https://t.co/5d6Jo4AI30",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.9
"https://t.co/S2KYB23Tz4
결국 '완벽한 입법'은 법안을 '누더기 입법'으로 프레이밍하기 위한 안티테제로서 존재할 뿐이지 실제로 그래서 입법이 완벽하게 되는 경우가 있냐면, 이 말을 정말 좋아하는 정의당 측에선 완벽한 법안의 대표발의가 있었는가 하면 그냥 웃음만 나와버리는 거다냐.",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.85
정의당 망하는 소리 들리는데,0.04,0.0,0.01,0.02,0.01,0.01,0.01,0.03,0.37,0.28
@ghkrkaksma 아 오늘 정의당것들 아주 단체로 짜장나네욬,0.05,0.01,0.01,0.1,0.01,0.02,0.01,0.1,0.52,0.04
정의당은 진짜 여자들 속일 수 있을 순간마저도 자기들 발로 기회를 걷어차네...,0.88,0.02,0.02,0.03,0.01,0.02,0.01,0.05,0.09,0.06
지금 정의당에 분노하는 게 민주당 지지자가 아닙니다 정의당을 지지해온 여성들이에요.....,0.1,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.07,0.83
작년까지만해도 죽어도 이재명 안뽑을라했는데 국짐이랑 정의당이 내 머리에 총 쏨 ㅋ ㅋ ㅋ 진짜 윤석열되면 5년동안 해외로 뜰 준비만 주구장창할듯...윤 뽑히는거 자체가 대한민국 망한증거인데 뭘 5년을 꾹 참고 버티겠니,0.01,0.01,0.01,0.02,0.0,0.04,0.01,0.02,0.44,0.26
@janghyeyeong 정의당은 약자가 계속 약자여야 당을 이어갈 수 있다는 말.. 그동안 부정해왔지만 불편한 현실인가같다.,0.03,0.01,0.01,0.06,0.0,0.01,0.01,0.02,0.17,0.63
